Variable 1,Variable 2,Spearman Correlation,P-value,Significance
Age,AVG-ATT,-0.08343510655220164,0.26818479134627377,
Age,AVG-ATT,-0.08343510655220164,0.26818479134627377,
Age,BEH-take_part,-0.19970536418379273,0.007526429133781698,
Age,BEH-take_part,-0.19970536418379273,0.007526429133781698,**
Age,BEH-passenger-usage,-0.08783595551356785,0.24366439226678874,
Age,BEH-passenger-usage,-0.08783595551356785,0.24366439226678874,
Age,BEH-driver-usage,0.033702173839865,0.6551623537843132,
Age,BEH-driver-usage,0.033702173839865,0.6551623537843132,
Age,INT-passenger,-0.20065972597624665,0.0072389985181118225,
Age,INT-passenger,-0.20065972597624665,0.0072389985181118225,**
Age,INT-driver,-0.12932417759499973,0.0853459049611751,
Age,INT-driver,-0.12932417759499973,0.0853459049611751,
AVG-ATT,BEH-take_part,0.2351132252332642,0.0015825393346795892,
AVG-ATT,BEH-take_part,0.2351132252332642,0.0015825393346795892,**
AVG-ATT,BEH-passenger-usage,0.25137100709314847,0.0007128424928300042,
AVG-ATT,BEH-passenger-usage,0.25137100709314847,0.0007128424928300042,***
AVG-ATT,BEH-driver-usage,0.15767346093874565,0.035555712232558816,
AVG-ATT,BEH-driver-usage,0.15767346093874565,0.035555712232558816,*
AVG-ATT,INT-passenger,0.31927462963636094,1.3998665840834699e-05,
AVG-ATT,INT-passenger,0.31927462963636094,1.3998665840834699e-05,***
AVG-ATT,INT-driver,0.33859515327998463,3.784381902246208e-06,
AVG-ATT,INT-driver,0.33859515327998463,3.784381902246208e-06,***
BEH-take_part,BEH-passenger-usage,0.5680093591083092,1.3541073351420748e-16,
BEH-take_part,BEH-passenger-usage,0.5680093591083092,1.3541073351420748e-16,***
BEH-take_part,BEH-driver-usage,0.32048547822461154,1.2930341642860786e-05,
BEH-take_part,BEH-driver-usage,0.32048547822461154,1.2930341642860786e-05,***
BEH-take_part,INT-passenger,0.2655856291986938,0.00033973079056206617,
BEH-take_part,INT-passenger,0.2655856291986938,0.00033973079056206617,***
BEH-take_part,INT-driver,0.19672951324808471,0.008488907212908296,
BEH-take_part,INT-driver,0.19672951324808471,0.008488907212908296,**
BEH-passenger-usage,BEH-driver-usage,0.4892808598815488,4.202823557130258e-12,
BEH-passenger-usage,BEH-driver-usage,0.4892808598815488,4.202823557130258e-12,***
BEH-passenger-usage,INT-passenger,0.40302018438367543,2.4407661654276327e-08,
BEH-passenger-usage,INT-passenger,0.40302018438367543,2.4407661654276327e-08,***
BEH-passenger-usage,INT-driver,0.12132908278060332,0.10668082892711216,
BEH-passenger-usage,INT-driver,0.12132908278060332,0.10668082892711216,
BEH-driver-usage,INT-passenger,0.12847065275149003,0.08744614565114656,
BEH-driver-usage,INT-passenger,0.12847065275149003,0.08744614565114656,
BEH-driver-usage,INT-driver,0.21244133228670958,0.004414412084179219,
BEH-driver-usage,INT-driver,0.21244133228670958,0.004414412084179219,**
INT-passenger,INT-driver,0.4621543843198382,8.365475117661573e-11,
INT-passenger,INT-driver,0.4621543843198382,8.365475117661573e-11,***
