Word,Count
I,337
.,233
to,201
a,195
nan,193
",",164
the,147
and,122
car,104
have,90
do,84
not,80
it,79
n't,69
ride,67
my,66
for,64
in,62
is,62
would,56
of,54
with,49
like,42
be,39
if,36
It,33
people,32
public,31
so,31
need,31
own,31
i,31
or,29
sharing,29
drive,29
money,28
as,28
that,28
on,28
driving,27
time,27
way,26
),25
's,25
travel,24
cheaper,24
share,23
transport,22
this,21
me,20
no,20
more,19
take,18
from,18
good,18
but,18
we,17
was,17
use,17
If,17
get,17
driver,16
transportation,16
can,16
friends,16
someone,16
who,15
(,15
same,15
option,15
think,14
other,14
costs,14
its,13
...,13
much,13
at,13
work,13
some,12
only,12
an,12
:,12
No,12
one,12
save,12
dont,12
'm,12
?,12
In,12
go,12
fee,11
am,11
when,11
very,11
because,11
you,11
Because,11
person,11
expenses,10
are,10
alone,10
than,10
long,10
license,10
why,10
needed,10
help,10
city,9
there,9
know,9
often,9
company,9
used,9
meet,9
strangers,9
'',9
before,9
environment,9
all,9
want,9
free,9
usually,8
feel,8
Sharing,8
going,8
rides,8
reason,8
needs,8
cars,8
find,8
Not,8
faster,8
place,7
distances,7
trust,7
make,7
somewhere,7
offer,7
don’t,7
new,7
friend,7
convenient,7
also,7
passenger,7
friendly,7
had,7
by,7
family,7
give,7
does,7
did,7
licence,7
while,7
When,7
mind,7
really,7
always,7
prefer,6
sure,6
..,6
Did,6
most,6
Have,6
likely,6
travelling,6
mostly,6
We,6
others,6
just,6
never,6
experience,6
shared,6
up,6
'd,5
commute,5
distance,5
now,5
will,5
train,5
situation,5
then,5
times,5
being,5
lot,5
ecological,5
gas,5
cheapest,5
around,5
ca,5
As,5
which,5
case,5
see,5
again,5
comfortable,5
Same,5
extra,5
idea,5
great,5
taxi,5
sense,5
last,5
home,5
cost,4
And,4
makes,4
rather,4
longer,4
our,4
out,4
alternative,4
vehicle,4
Its,4
done,4
above,4
Dont,4
enjoy,4
first,4
split,4
riding,4
either,4
passengers,4
try,4
Why,4
might,4
depends,4
any,4
Berlin,4
maybe,4
could,4
less,4
how,4
them,4
traveling,4
bus,4
somebody,4
fast,4
direction,4
12,4
having,4
live,4
independent,4
course,4
Just,4
trip,4
ride-sharing,4
too,4
destination,4
/,4
For,4
short,3
move,3
Uber,3
smart,3
about,3
country,3
part,3
plane,3
trips,3
The,3
probably,3
since,3
-,3
few,3
little,3
town,3
allows,3
cut,3
bike,3
commuting,3
eco,3
However,3
job,3
Mostly,3
where,3
+,3
Finland,3
owner,3
How,3
There,3
instead,3
safe,3
pick,3
both,3
comfort,3
better,3
come,3
fair,3
their,3
taking,3
space,3
another,3
between,3
helping,3
value,3
``,3
Good,3
drivers,3
knew,3
life,3
Only,3
reasons,3
sometimes,3
months,3
month,3
small,3
1,3
lift,3
offers,3
nice,3
easier,3
A,3
already,3
stranger,3
even,3
