Variable 1,Variable 2,Correlation Coefficient,P-Value,Significance
V-SE-Power,V-SE-Achievement,0.38652858569887877,9.864816198714398e-08,***
V-SE-Power,AVG-V-Self-Enhacemen,0.7957529360234548,3.497827545308359e-40,***
V-SE-Power,V-O-Hedonism,0.16057403638528617,0.03226232778682012,*
V-SE-Power,V-O-Stimulation,0.24743811925424772,0.0008687313373146808,***
V-SE-Power,AVG-V-Openness_to_change,0.19717015336243865,0.008339838087634398,**
V-SE-Power,P-E-Sociability,0.22984704806026307,0.002026189167494877,**
V-SE-Power,P-HH-Greed avoidance,-0.3403493902441628,3.345691533810621e-06,***
V-SE-Power,P-HH-Fairness,-0.17176730698962533,0.021872062588946216,*
V-SE-Power,AVG-P-Honesty-Humility,-0.20769337003522712,0.005404942344420352,**
V-SE-Achievement,AVG-V-Self-Enhacemen,0.8661321918114159,6.770284975258176e-55,***
V-SE-Achievement,V-O-Hedonism,0.19748086073824575,0.008236125711525598,**
V-SE-Achievement,V-O-Stimulation,0.2932115687766564,7.126331140672732e-05,***
V-SE-Achievement,AVG-V-Openness_to_change,0.2770365822337829,0.00018137974153307045,***
V-SE-Achievement,AVG-V-Conservation,0.16738047821833738,0.02553710331183391,*
V-SE-Achievement,P-E-Social_boldness,0.17108688584280318,0.022408927408991777,*
V-SE-Achievement,P-E-Sociability,0.18983429867291599,0.0111493335036337,*
V-SE-Achievement,AVG-P-Extraversion,0.19575577368925007,0.008826730484093775,**
V-SE-Achievement,P-HH-Greed avoidance,-0.26546651172500757,0.0003419064274853612,***
V-SE-Achievement,AVG-P-Honesty-Humility,-0.189284840351465,0.011389965923686926,*
AVG-V-Self-Enhacemen,V-O-Hedonism,0.21669829242037342,0.0036684240432197156,**
AVG-V-Self-Enhacemen,V-O-Stimulation,0.32663542427642545,8.59403351677082e-06,***
AVG-V-Self-Enhacemen,AVG-V-Openness_to_change,0.2887719791346003,9.261517646743438e-05,***
AVG-V-Self-Enhacemen,AVG-V-Conservation,0.16226256382052145,0.030467252048405367,*
AVG-V-Self-Enhacemen,P-E-Social_boldness,0.16887970870762067,0.02422932679423373,*
AVG-V-Self-Enhacemen,P-E-Sociability,0.24921862456310287,0.0007946359254539152,***
AVG-V-Self-Enhacemen,AVG-P-Extraversion,0.19827077450492217,0.00797759157249511,**
AVG-V-Self-Enhacemen,P-HH-Greed avoidance,-0.35876832199388603,8.763403673374626e-07,***
AVG-V-Self-Enhacemen,AVG-P-Honesty-Humility,-0.2368519507368878,0.0014568030388497418,**
V-O-Hedonism,V-O-Stimulation,0.4342018975491597,1.4023413187232577e-09,***
V-O-Hedonism,V-O-Self_direction,0.25108570619646464,0.0007232193223373184,***
V-O-Hedonism,AVG-V-Openness_to_change,0.7621837683185289,4.5344122581319227e-35,***
V-O-Hedonism,AVG-V-Self_transcendence,0.16304716946706468,0.029662521296878727,*
V-O-Hedonism,ATT-Favourable,-0.15027017106175874,0.04527262231007782,*
V-O-Stimulation,V-O-Self_direction,0.3780024705722693,1.971937906041366e-07,***
V-O-Stimulation,AVG-V-Openness_to_change,0.8097583477446868,1.3135448339087812e-42,***
V-O-Stimulation,V-ST-Universalism,0.24018478842951235,0.001240966425319099,**
V-O-Stimulation,V-ST-Benevolence,0.17669096319508826,0.01830761917595721,*
V-O-Stimulation,AVG-V-Self_transcendence,0.24774914953863564,0.0008553464817576513,***
V-O-Stimulation,P-OX-Aesthetic_appreciation,0.17802322234293377,0.017434453660083723,*
V-O-Stimulation,P-OX-Creativity,0.2316056437019678,0.0018668143498596762,**
V-O-Stimulation,P-OX-Unconventionality,0.2143731921392345,0.00406044629665473,**
V-O-Stimulation,AVG-P-Opennes_to_experience,0.30934573830779666,2.6499250262216263e-05,***
V-O-Self_direction,AVG-V-Openness_to_change,0.690323838115571,1.5780126422433753e-26,***
V-O-Self_direction,V-ST-Universalism,0.48334336966681024,8.273478535369774e-12,***
V-O-Self_direction,V-ST-Benevolence,0.27320754197828456,0.0002244195675640107,***
V-O-Self_direction,AVG-V-Self_transcendence,0.4548182317239616,1.7973442022048623e-10,***
V-O-Self_direction,P-OX-Aesthetic_appreciation,0.2570556067710651,0.0005326456520495877,***
V-O-Self_direction,P-OX-Inquisitiveness,0.15366139231965,0.04057631649908025,*
V-O-Self_direction,P-OX-Creativity,0.23806490236045771,0.0013745675986412411,**
V-O-Self_direction,P-OX-Unconventionality,0.18491645870369794,0.013471300833197338,*
V-O-Self_direction,AVG-P-Opennes_to_experience,0.279837427250152,0.00015491359452985694,***
V-O-Self_direction,ATT-Smart,0.21356952312969896,0.004204473595173607,**
V-O-Self_direction,AVG-ATT,0.17479725278623146,0.01961396779122393,*
V-O-Self_direction,INT-passenger,0.19614353560948938,0.008690801592041322,**
AVG-V-Openness_to_change,V-ST-Universalism,0.36905241054150506,3.9953180608532413e-07,***
AVG-V-Openness_to_change,V-ST-Benevolence,0.25385606618582823,0.000628088241911074,***
AVG-V-Openness_to_change,AVG-V-Self_transcendence,0.3713078460456511,3.350736001126623e-07,***
AVG-V-Openness_to_change,P-OX-Aesthetic_appreciation,0.21955878645279306,0.0032331090705630633,**
AVG-V-Openness_to_change,P-OX-Creativity,0.21029969755966718,0.00483901419976116,**
AVG-V-Openness_to_change,P-OX-Unconventionality,0.23241401254744742,0.001797458389528818,**
AVG-V-Openness_to_change,AVG-P-Opennes_to_experience,0.3138792636378828,1.9856925818903e-05,***
V-ST-Universalism,V-ST-Benevolence,0.4514757659890841,2.5314194369993046e-10,***
V-ST-Universalism,AVG-V-Self_transcendence,0.8805537720153878,5.773353689187613e-59,***
V-ST-Universalism,V-C-Security,0.15432876855142277,0.039702056927623186,*
V-ST-Universalism,P-OX-Aesthetic_appreciation,0.28076683861698815,0.00014695967155718673,***
V-ST-Universalism,P-OX-Inquisitiveness,0.3026141794850507,4.0324452226244776e-05,***
V-ST-Universalism,P-OX-Creativity,0.22796092599601836,0.0022107959403909034,**
V-ST-Universalism,AVG-P-Opennes_to_experience,0.292223020295602,7.557385820752808e-05,***
V-ST-Universalism,ATT-Favourable,0.21332978259589502,0.004248318937649978,**
V-ST-Universalism,ATT-Smart,0.19344451135205357,0.009676688020938642,**
V-ST-Universalism,AVG-ATT,0.23565308190719292,0.0015424777119039295,**
V-ST-Universalism,INT-passenger,0.20510018309258574,0.006026101494703964,**
V-ST-Benevolence,AVG-V-Self_transcendence,0.8204430575749158,1.3449925987502766e-44,***
V-ST-Benevolence,V-C-Tradition,0.18856275755921492,0.01171314236441858,*
V-ST-Benevolence,V-C-Conformity,0.15339226682061077,0.040933419228999963,*
V-ST-Benevolence,V-C-Security,0.16112913286061803,0.031662539394760214,*
V-ST-Benevolence,AVG-V-Conservation,0.22764330166763747,0.0022433461502635314,**
V-ST-Benevolence,P-OX-Creativity,0.1512245085244426,0.04390722139864191,*
V-ST-Benevolence,AVG-P-Opennes_to_experience,0.27264647481366183,0.00023147136439045574,***
V-ST-Benevolence,P-E-Sociability,0.19196436807373835,0.010258273313310619,*
V-ST-Benevolence,P-HH-Sincerity,0.2535080185216352,0.0006393707448228633,***
V-ST-Benevolence,AVG-P-Honesty-Humility,0.23201067526885788,0.0018317646872620939,**
V-ST-Benevolence,ATT-Favourable,0.1634313632693552,0.029275128342543224,*
V-ST-Benevolence,ATT-Smart,0.18206439273617664,0.015003573420227593,*
V-ST-Benevolence,AVG-ATT,0.20140781169637276,0.007020565030843887,**
V-ST-Benevolence,INT-passenger,0.16489678819081718,0.02783687976332189,*
AVG-V-Self_transcendence,V-C-Security,0.1844712893645167,0.013701044645893865,*
AVG-V-Self_transcendence,AVG-V-Conservation,0.1843979966045692,0.013739196835303615,*
AVG-V-Self_transcendence,P-OX-Aesthetic_appreciation,0.2495189033926551,0.0007827287041961599,***
AVG-V-Self_transcendence,P-OX-Inquisitiveness,0.22430164710427597,0.00261315449141451,**
AVG-V-Self_transcendence,P-OX-Creativity,0.22638995052285282,0.0023760819309029363,**
AVG-V-Self_transcendence,P-OX-Unconventionality,0.1478404844805413,0.04890977915844375,*
AVG-V-Self_transcendence,AVG-P-Opennes_to_experience,0.33206034961893155,5.9493781598665175e-06,***
AVG-V-Self_transcendence,P-E-Sociability,0.18245685941344195,0.014784074420412017,*
AVG-V-Self_transcendence,P-HH-Sincerity,0.15483005874311223,0.03905584049454988,*
AVG-V-Self_transcendence,AVG-P-Honesty-Humility,0.1553595117768807,0.038382959481859165,*
AVG-V-Self_transcendence,ATT-Favourable,0.223498890445312,0.002709850973040553,**
AVG-V-Self_transcendence,ATT-Smart,0.22065459594924045,0.003079110512151498,**
AVG-V-Self_transcendence,AVG-ATT,0.25797409981179065,0.0005078334663981195,***
AVG-V-Self_transcendence,INT-passenger,0.21900417281324672,0.0033136735871460714,**
V-C-Tradition,V-C-Conformity,0.43455217169387345,1.3557754976582542e-09,***
V-C-Tradition,V-C-Security,0.19008308927211393,0.011041857365052612,*
V-C-Tradition,AVG-V-Conservation,0.7246945524484911,2.8223355592041856e-30,***
V-C-Tradition,P-OX-Inquisitiveness,-0.1812765007169268,0.015452832738242864,*
V-C-Tradition,P-HH-Sincerity,0.16335659752474566,0.029350176600107192,*
V-C-Conformity,V-C-Security,0.32381932192769874,1.0373260095442409e-05,***
V-C-Conformity,AVG-V-Conservation,0.7830664365533687,3.825944002298998e-38,***
V-C-Conformity,P-OX-Unconventionality,-0.15435151228592378,0.03967254422033503,*
V-C-Conformity,P-HH-Sincerity,0.2345617956276882,0.0016244381688492347,**
V-C-Security,AVG-V-Conservation,0.7042369280751102,5.5732340745363245e-28,***
V-C-Security,P-HH-Fairness,0.16175778560437828,0.03099474656101295,*
V-C-Security,P-HH-Sincerity,0.16676573060415736,0.02609059554383019,*
V-C-Security,BEH-take_part,-0.1951728795189856,0.009034605991329145,**
V-C-Security,INT-driver,-0.16678646804072708,0.02607175823984121,*
AVG-V-Conservation,P-HH-Sincerity,0.25442034337363095,0.0006101858615044093,***
P-OX-Aesthetic_appreciation,P-OX-Inquisitiveness,0.1617322898688817,0.031021594595737393,*
P-OX-Aesthetic_appreciation,P-OX-Creativity,0.28798813905552245,9.69577862023897e-05,***
P-OX-Aesthetic_appreciation,P-OX-Unconventionality,0.28218094124324355,0.00013558585303654697,***
P-OX-Aesthetic_appreciation,AVG-P-Opennes_to_experience,0.6757886648032811,4.266528963509998e-25,***
P-OX-Aesthetic_appreciation,ATT-Smart,0.1658317350903206,0.026951189663077742,*
P-OX-Inquisitiveness,AVG-P-Opennes_to_experience,0.39876723591273194,3.524749573807024e-08,***
P-OX-Inquisitiveness,P-HH-Modesty,0.14928549840926197,0.04671843976228577,*
P-OX-Creativity,P-OX-Unconventionality,0.1733910444689172,0.020635539510536607,*
P-OX-Creativity,AVG-P-Opennes_to_experience,0.5829516804947449,1.3736335139885584e-17,***
P-OX-Creativity,P-E-Social_boldness,0.18741766676311167,0.01224218556623447,*
P-OX-Creativity,ATT-Smart,0.15063539170737258,0.04474595542588663,*
P-OX-Unconventionality,AVG-P-Opennes_to_experience,0.5678230476009909,1.3922871943846904e-16,***
P-OX-Unconventionality,INT-passenger,0.1720715099087792,0.021635653140885704,*
P-OX-Unconventionality,INT-driver,0.16821435126337464,0.02480243719704782,*
AVG-P-Opennes_to_experience,ATT-Smart,0.203480481235163,0.006445704074255458,**
AVG-P-Opennes_to_experience,AVG-ATT,0.15116139204489953,0.04399644709550938,*
P-E-Social_boldness,P-E-Social_self-esteem,0.23467761305780285,0.001615555045291952,**
P-E-Social_boldness,P-E-Sociability,0.39710848622134565,4.062303648792787e-08,***
P-E-Social_boldness,AVG-P-Extraversion,0.7105125012275414,1.1565581396974878e-28,***
P-E-Social_boldness,P-HH-Modesty,-0.27698047586848723,0.00018195061299867746,***
P-E-Social_boldness,AVG-P-Honesty-Humility,-0.15598440878807412,0.037601375464462794,*
P-E-Social_boldness,ATT-Smart,0.21501955595692165,0.003947848209798818,**
P-E-Social_boldness,AVG-ATT,0.1693787678346054,0.02380696305127938,*
P-E-Social_boldness,INT-passenger,0.1557227148403453,0.03792703725086631,*
P-E-Social_boldness,INT-driver,0.2094591451039283,0.005015433350768472,**
P-E-Social_self-esteem,P-E-Sociability,0.28479710310863465,0.00011668077582413016,***
P-E-Social_self-esteem,AVG-P-Extraversion,0.5620858549803209,3.250066842729767e-16,***
P-E-Sociability,AVG-P-Extraversion,0.668070447912596,2.278637759214854e-24,***
P-E-Sociability,INT-passenger,0.18235339366986278,0.014841666743607155,*
P-E-Sociability,INT-driver,0.18058785099767058,0.01585507228950738,*
P-E-Liveliness,AVG-P-Extraversion,0.5632081394303912,2.7569732381825127e-16,***
P-E-Liveliness,P-HH-Fairness,0.2053375354682376,0.005966706974740712,**
